officer_name,tenure_id,tenure_idx,officer_id,post_id,officer_start_date_idx,start_date,end_date,start_order_id,start_detail_idx,end_order_id,end_detail_idx,role,manager_ids,reportee_ids,all_order_infos
P. Radhakrishnan,Q7117480-2,2,Q7117480,D:__department__>Ministry of Road Transport and Highways,0,2003-09-08,2004-05-22,1_Upload_2078.pdf,67,,-1,Minister of State,['Q3630187-2'],[],"[('1_Upload_2078.pdf', 67), ('1_Upload_1723.pdf', 4), ('1_Upload_2079.pdf', 64), ('1_Upload_2080.pdf', 63), ('1_Upload_2082.pdf', 63), ('1_Upload_2083.pdf', 61), ('1_Upload_2084.pdf', 61), ('1_Upload_2085.pdf', 59), ('1_Upload_2086.pdf', 59)]"
P. Radhakrishnan,Q7117480-3,3,Q7117480,D:__department__>Ministry of Heavy Industries and Public Enterprises,0,2014-05-27,2014-11-09,1_Upload_1782.pdf,38,1_Upload_10.pdf,31,Minister of State,['Q4751428-3'],[],"[('1_Upload_1782.pdf', 38), ('1_Upload_1170.pdf', 37), ('1_Upload_10.pdf', 31)]"
P. Radhakrishnan,Q7117480-4,4,Q7117480,D:__department__>Ministry of Road Transport and Highways,0,2014-11-09,2017-09-03,1_Upload_1171.pdf,51,1_Upload_1266.pdf,40,Minister of State,['Q3504520-3'],[],"[('1_Upload_1171.pdf', 51), ('1_Upload_10.pdf', 31), ('1_Upload_1176.pdf', 51), ('1_Upload_1177.pdf', 51), ('1_Upload_1178.pdf', 51), ('1_Upload_230.pdf', 50), ('1_Upload_229.pdf', 56), ('1_Upload_1.pdf', 54), ('1_Upload_1195.pdf', 53), ('1_Upload_1211.pdf', 52), ('1_Upload_1215.pdf', 52), ('1_Upload_1235.pdf', 52), ('1_Upload_1249.pdf', 51)]"
P. Radhakrishnan,Q7117480-5,5,Q7117480,D:__department__>Ministry of Shipping,0,2014-11-09,2019-05-30,1_Upload_1171.pdf,51,,-1,Minister of State,['Q3504520-4'],[],"[('1_Upload_1171.pdf', 51), ('1_Upload_10.pdf', 31), ('1_Upload_1176.pdf', 51), ('1_Upload_1177.pdf', 51), ('1_Upload_1178.pdf', 51), ('1_Upload_230.pdf', 50), ('1_Upload_229.pdf', 56), ('1_Upload_1.pdf', 54), ('1_Upload_1195.pdf', 53), ('1_Upload_1211.pdf', 52), ('1_Upload_1215.pdf', 52), ('1_Upload_1235.pdf', 52), ('1_Upload_1249.pdf', 51), ('1_Upload_1266.pdf', 40), ('1_Upload_1269.pdf', 18), ('1_Upload_1387.pdf', 39), ('1_Upload_1392.pdf', 39), ('1_Upload_1421.pdf', 39), ('1_Upload_1495.pdf', 39), ('1_Upload_1516.pdf', 39), ('1_Upload_1733.pdf', 38), ('1_Upload_1763.pdf', 38), ('1_Upload_1787.pdf', 38), ('1_Upload_1807.pdf', 38)]"
P. Radhakrishnan,Q7117480-6,6,Q7117480,D:__department__>Ministry of Finance,0,2017-09-03,2019-05-30,1_Upload_1266.pdf,40,,-1,Minister of State,"['Q3629480-13', 'Q3629480-16', 'Q3629480-19', 'Q7199798-7', 'Q7199798-9']",[],"[('1_Upload_1266.pdf', 40), ('1_Upload_1269.pdf', 18), ('1_Upload_1387.pdf', 39), ('1_Upload_1392.pdf', 39), ('1_Upload_1421.pdf', 39), ('1_Upload_1495.pdf', 39), ('1_Upload_1516.pdf', 39), ('1_Upload_1733.pdf', 38), ('1_Upload_1763.pdf', 38), ('1_Upload_1787.pdf', 38), ('1_Upload_1807.pdf', 38)]"
P. Ramachandran,Q7117487-0,0,Q7117487,D:__department__>Ministry of Energy,0,1977-03-24,1979-07-28,1_Upload_2634.pdf,12,,-1,Cabinet Minister,[],"['Q5439242-0', 'Q6153095-2']","[('1_Upload_2634.pdf', 12), ('1_Upload_2635.pdf', 16), ('1_Upload_2625.pdf', 14), ('1_Upload_2453.pdf', 15), ('1_Upload_2455.pdf', 15)]"
P. Shiv Shankar,Q7117543-0,0,Q7117543,D:__department__>Ministry of Law Justice and Company Affairs,0,1980-01-14,1982-01-15,1_Upload_2042.pdf,40,1_Upload_2415.pdf,5,Cabinet Minister,[],[],"[('1_Upload_2042.pdf', 40), ('1_Upload_2427.pdf', 10), ('1_Upload_2428.pdf', 12), ('1_Upload_2429.pdf', 12), ('1_Upload_2430.pdf', 12), ('1_Upload_2424.pdf', 13), ('1_Upload_2426.pdf', 7), ('1_Upload_2411.pdf', 12), ('1_Upload_2415.pdf', 5)]"
P. Shiv Shankar,Q7117543-1,1,Q7117543,D:__department__>Ministry of Chemicals and Fertilisers,0,1982-01-15,1982-09-03,1_Upload_2415.pdf,5,1_Upload_2422.pdf,5,Cabinet Minister,[],['Q24817466-9'],"[('1_Upload_2415.pdf', 5), ('1_Upload_2413.pdf', 13), ('1_Upload_2414.pdf', 12), ('1_Upload_2422.pdf', 5)]"
P. Shiv Shankar,Q7117543-10,10,Q7117543,D:__department__>Ministry of Commerce,0,1986-05-12,1987-07-25,1_Upload_2197.pdf,13,1_Upload_2315.pdf,1,Cabinet Minister,[],"['Q3347275-0', 'Q58292-4', 'Q60793096-0']","[('1_Upload_2197.pdf', 13), ('1_Upload_2184.pdf', 4), ('1_Upload_2185.pdf', 4), ('1_Upload_2191.pdf', 4), ('1_Upload_2187.pdf', 4), ('1_Upload_2188.pdf', 4), ('1_Upload_2203.pdf', 23), ('1_Upload_2189.pdf', 4), ('1_Upload_2190.pdf', 4), ('1_Upload_2297.pdf', 4), ('1_Upload_2298.pdf', 4), ('1_Upload_2300.pdf', 3), ('1_Upload_2301.pdf', 3), ('1_Upload_2302.pdf', 3), ('1_Upload_2315.pdf', 1)]"
P. Shiv Shankar,Q7117543-11,11,Q7117543,D:__department__>Ministry of Programme Implementation,0,1987-07-25,1987-07-27,1_Upload_2315.pdf,1,1_Upload_2303.pdf,3,Cabinet Minister,[],['Q16204692-7'],"[('1_Upload_2315.pdf', 1)]"
