officer_name,tenure_id,tenure_idx,officer_id,post_id,officer_start_date_idx,start_date,end_date,start_order_id,start_detail_idx,end_order_id,end_detail_idx,role,manager_ids,reportee_ids,all_order_infos
Narendra Modi,Q1058-6,6,Q1058,D:__department__>Ministry of Personnel Public Grievances and Pensions,0,2019-05-31,2024-06-09,1_Upload_1859.pdf,0,,-1,Prime Minister,[],['Q6203277-19'],"[('1_Upload_1859.pdf', 0), ('1_Upload_1873.pdf', 0), ('1_Upload_1943.pdf', 0), ('1_Upload_2388.pdf', 0), ('1_Upload_2398.pdf', 0), ('1_Upload_2405.pdf', 0), ('1_Upload_2447.pdf', 0), ('1_Upload_2606.pdf', 0), ('1_Upload_3158.pdf', 0), ('1_Upload_3297.pdf', 0), ('1_Upload_3634.pdf', 0), ('1_Upload_3795.pdf', 0), ('1_Upload_3837.pdf', 0)]"
Narendra Modi,Q1058-7,7,Q1058,D:__department__>Department of Atomic Energy,0,2024-06-09,to_date,1_Upload_3889.pdf,0,,-1,Prime Minister,[],['Q6203277-22'],"[('1_Upload_3889.pdf', 0)]"
Narendra Modi,Q1058-8,8,Q1058,D:__department__>Department of Space,0,2024-06-09,to_date,1_Upload_3889.pdf,0,,-1,Prime Minister,[],['Q6203277-23'],"[('1_Upload_3889.pdf', 0)]"
Narendra Modi,Q1058-9,9,Q1058,D:__department__>Ministry of Personnel Public Grievances and Pensions,0,2024-06-09,to_date,1_Upload_3889.pdf,0,,-1,Prime Minister,[],['Q6203277-25'],"[('1_Upload_3889.pdf', 0)]"
K. K. Tewary,Q106322481-0,0,Q106322481,D:__department__>Ministry of Industry,0,1986-05-12,1986-05-13,1_Upload_2197.pdf,8,1_Upload_2184.pdf,34,Minister of State,"['Q3520007-7', 'Q3763961-4']",[],"[('1_Upload_2197.pdf', 8)]"
K. K. Tewary,Q106322481-1,1,Q106322481,D:__department__>Ministry of Heavy Industries and Public Enterprises,0,1986-05-12,1987-07-23,1_Upload_2197.pdf,8,1_Upload_2314.pdf,0,Minister of State,[],[],"[('1_Upload_2197.pdf', 8), ('1_Upload_2184.pdf', 34), ('1_Upload_2185.pdf', 33), ('1_Upload_2191.pdf', 33), ('1_Upload_2187.pdf', 32), ('1_Upload_2188.pdf', 32), ('1_Upload_2189.pdf', 34), ('1_Upload_2190.pdf', 34), ('1_Upload_2297.pdf', 34), ('1_Upload_2298.pdf', 33), ('1_Upload_2299.pdf', 32), ('1_Upload_2300.pdf', 31), ('1_Upload_2301.pdf', 30), ('1_Upload_2302.pdf', 29), ('1_Upload_2314.pdf', 0)]"
K. K. Tewary,Q106322481-2,2,Q106322481,D:__department__>Ministry of Industry,0,1986-10-23,1987-07-23,1_Upload_2189.pdf,34,1_Upload_2314.pdf,0,Minister of State,"['Q3763961-4', 'Q6125834-0']",[],"[('1_Upload_2189.pdf', 34), ('1_Upload_2190.pdf', 34), ('1_Upload_2297.pdf', 34), ('1_Upload_2298.pdf', 33), ('1_Upload_2299.pdf', 32), ('1_Upload_2300.pdf', 31), ('1_Upload_2301.pdf', 30), ('1_Upload_2302.pdf', 29), ('1_Upload_2314.pdf', 0)]"
K. K. Tewary,Q106322481-3,3,Q106322481,D:__department__>Ministry of External Affairs,0,1988-06-25,1989-04-22,1_Upload_2334.pdf,25,1_Upload_2171.pdf,0,Minister of State,['Q275146-15'],[],"[('1_Upload_2334.pdf', 25), ('1_Upload_2324.pdf', 39), ('1_Upload_2325.pdf', 38), ('1_Upload_2171.pdf', 0)]"
K. K. Tewary,Q106322481-4,4,Q106322481,D:__department__>Ministry of Information and Broadcasting,0,1989-04-22,1989-12-02,1_Upload_2171.pdf,0,,-1,Minister of State,['Q5628338-13'],[],"[('1_Upload_2171.pdf', 0), ('1_Upload_2178.pdf', 37), ('1_Upload_2167.pdf', 39)]"
Chaturanan Mishra,Q1068309-0,0,Q1068309,D:__department__>Ministry of Agriculture,0,1996-06-29,1997-04-21,1_Upload_1614.pdf,10,,-1,Cabinet Minister,[],[],"[('1_Upload_1614.pdf', 10)]"
Chaturanan Mishra,Q1068309-1,1,Q1068309,D:__department__>Ministry of Agriculture>Department of Animal Husbandry and Dairying,0,1996-06-29,1997-04-21,1_Upload_1614.pdf,10,,-1,Cabinet Minister,[],[],"[('1_Upload_1614.pdf', 10)]"
Chaturanan Mishra,Q1068309-2,2,Q1068309,"D:__department__>Ministry of Consumer Affairs, Food and Public Distribution",0,1997-06-09,1997-06-09,1_Upload_1629.pdf,1,1_Upload_1629.pdf,1,Cabinet Minister,[],[],"[('1_Upload_1629.pdf', 1), ('1_Upload_1629.pdf', 1)]"
Chaturanan Mishra,Q1068309-3,3,Q1068309,D:__department__>Ministry of Agriculture,0,1997-04-22,1998-03-19,1_Upload_1623.pdf,5,,-1,Cabinet Minister,[],['Q15709479-3'],"[('1_Upload_1623.pdf', 5), ('1_Upload_2128.pdf', 5), ('1_Upload_1624.pdf', 1), ('1_Upload_1629.pdf', 1)]"
Chaturanan Mishra,Q1068309-4,4,Q1068309,"D:__department__>Ministry of Fisheries, Animal Husbandary and Dairying>Department of Animal Husbandry and Dairying",0,1997-04-22,1998-03-19,1_Upload_1623.pdf,5,,-1,Cabinet Minister,[],[],"[('1_Upload_1623.pdf', 5), ('1_Upload_2128.pdf', 5)]"
Chaturanan Mishra,Q1068309-5,5,Q1068309,D:__department__>Ministry of Agriculture>Department of Animal Husbandry and Dairying,0,1997-06-09,1998-03-19,1_Upload_1629.pdf,1,,-1,Cabinet Minister,[],[],"[('1_Upload_1629.pdf', 1)]"
